Month,Year,Company,Location,State,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
October,2015,America's Thrift Stores,Decatur, Georgia,HACK,BSO,0,0,"America's Thrift Stores notified customers of a data breach when they thrift store chain discovered the software used through a third-party service provider was compromised.The hacking, alledgedly from Eastern Europe, compromised customer credit card or debit card information was compromised.More information: www.waaytv.com/appnews/data-breach-at-america-s-thrift-store/article_54d... ",Media
October,2015,Dow Jones & Company,New York, New York,HACK,BSF,"3,500","3,500","Down Jones & Company notified individuals of a breach when they discovered unauthorized access to their system, affecting payment card information of customers.The unauthorized access also included names, addresses, email addresses and phone numbers of current and former subscribers.More information: http://www.wsj.com/articles/dow-jones-discloses-customer-data-breach-144...Company letter: http://online.wsj.com/public/resources/documents/dowjonesletter.pdf   ",Media
October,2015,Scottrade,St. Louis, Missouri,HACK,BSF,"4,600,000","4,600,000","Scottrade notified customers of a data breach, when one of their systems was hacked into exposing customers records. The information compromised included client names and street addresses.The company is providing AllClear ID to those affected for one year for free.  Those affected can call 855-229-0083 Monday through Saturday 8:00 am to 8:00 pm. More information: https://oag.ca.gov/system/files/Scottrade%20California%20notice%20only%2...?UPDATED (10/2/2015): The Scottstrade data breach appears to have affected 4.6 million customers. The company stated “Based upon our subsequent internal investigation coupled with 
information provided by the authorities, we believe a list of client 
names and street addresses was taken from our system,” the email notice 
reads. “Importantly, we have no reason to believe that Scottrade’s 
trading platforms or any client funds were compromised. All client 
passwords remained encrypted at all times and we have not seen any 
indication of fraudulent activity as a result of this incident.” The notice sent out also stated that ""that although Social Security numbers, email addresses 
and other sensitive data were contained in the system accessed, “it appears that contact information was the focus of the incident.”""More information: http://krebsonsecurity.com/2015/10/scottrade-breach-hits-4-6-million-cus...",California Attorney General
October,2015,Uniformed Services University,Bethesda, Maryland,HACK,EDU,0,0,"A hacker by the name of Kuroi SH infiltrated the United States based Uniformed Services University (USU) leaking 2014 login credentials online.USU educates service members in for the military's medical corps in the US and abroad. The university also provides training to military physicians, nurses and educators.  ""The hacker uploaded a deface page on 8 of 
the USU websites on which a database of all the websites, names, emails 
and clear-text passwords of those working for the university are held.""More information: https://www.hackread.com/uniformed-services-university-domain-hacked/ ",Media
October,2015,Peppermill Resort Spa & Casino,Reno, Nevada,HACK,BSO,0,0,"The Peppermill Resort Spa & Casino notified customers of a breach
 when their front desk system compromising customer payment card 
information and the security codes on the back of the cards. According
 to the casino, the hack occurred between October 12, 2014 and February 
16, 2015. The casino was asked to delay notifying individuals by federal
 authorities while they investigated the incidence. More information: http://ago.vermont.gov/assets/files/Consumer/Security_Breach/Peppermill%... ",Media
October,2015,Streets of New York,Phoenix, Arizona,HACK,BSO,200,200,"The Streets of New York restaurant in Phoenix Arizona notified customers of a breach when hackers infiltrated the payment card system of the restaurant. According to the restaurant a few hundred customers were affected. The hackers then tried extorting the owners for $10,000.More information: http://www.fox10phoenix.com/arizona-news/32931241-story",Media
October,2015,Scripps Network LLC. (Food.com),Knocksville, Tennessee,HACK,BSO,0,0,"Food.com notified customers of a databreach to their system that may have affected emails, usernames and passwords. These credentials were used to login onto the site for managing their recipe box and posting recipes on the site. These same credentials are used to Foodnetwork.com website as well as mobile applications through the site. This intrusion occurred between August 8, 2015 and September 2, 2015. According to the company no financial information or Social Security information was compromised. The company is recommending that customers change their usernames and passwords. Those with questions can call 1-800-380-6336 between 9 a.m. through 7 p.m. EST Monday to Friday and use the reference number 1031100715.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58311",California Attorney General
October,2015,NextBus,Emeryville, California,HACK,BSO,0,0,"NextBus has notified customers of a data breach to their system that disclosed usernames, email addresses, telephone numbers and passwords of customers. The company is advising customers to change their passwords.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58315",California Attorney General
October,2015,"Service Systems Associates, Inc. ",Denver, Colorado,HACK,BSO,"60,000",0,"Service Systems Associates, Inc. notified customers of a data breach when their point-of-sale software contained malware that compromised payment card information of individuals who visited gift shops in several zoos from March 24 and May 20, 2015. The following zoo locations were affected:- Dallas Zoo- Detroit Zoo- El Paso Zoo- Fresno Chaffee Zoo- Herman Park Conservancy- Honolulu Zoo- Houston Zoo- Zoo Miami- Museum of Science and Industry (Tampa Florida)- Pittsburgh Zoo & PPG AquariumVisit http://www.kmssa.com/creditcardbreach/ for more informationMore information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58264UPDATE (10/20/2015): Service Systems Associates lawyer sent a letter to the New Hampshire Attorney General's office affected approximately 60,000 consumer credit cards. More information: http://doj.nh.gov/consumer/security-breaches/documents/service-systems-2...",California Attorney General
October,2015,Xero,San Francisco, California,HACK,BSO,0,0,"The online accounting software company Xero is notifying customers of a data breach when ""a small number"" of their customers had their accounts compromised. In particular, they had been seeing a large increase in phishing scams pretending to be the company.The company is asking those who are compromised to change their account passwords. More information: https://grahamcluley.com/2015/10/online-accounting-software-xero-tells-u...               ",Media
October,2015,Noble House and Resorts,Kirkland, Washington,HACK,BSO,0&nbsp;,0,"The Nobel House Hotels and Resorts notified customers of a data breach 
when guests informed them of unauthorized charges on their payment cards
 used at one of their hotels, The Commons.The company identified malware on the payment card system on 
September 25, 2015. The information compromised included cardholder 
name, card numbers, expired dates, and the CVV number on the back of the
 cards. The dates cards were potentially compromised were from January 
28, 2015 to August 3, 2015. More information: http://oag.ca.gov/system/files/General%20Notice_0.pdf?UPDATE (11/13/2015): A second notice by the Noble House Hotels and Resorts specifies the hotels that were affected by this breach. The list is as follows:- The Portofino Hotel and Marina, Redondo Beach CA, from April 3, 2015-August 11, 2015- The Edgewater, Seattle WA, from December 29, 2014 to August 11, 2015- Little Palm Island Resort and Spa, Florida Keys FL, from December 29, 2014 to May 22, 2015- Mountain Lodge Telluride, Telluride, CO, from December 29, 2014 to May 27, 2015- Ocean Key Resort and Spa, Key West, FL, from December 29, 2014 to August 6, 2015- River Terrace Inn, Napa, CA from December 29, 2014 to August 11, 2015More Information: http://oag.ca.gov/system/files/General%20Notice_1.pdf?",California Attorney General
October,2015,American Bankers Association,Washington, District Of Columbia,HACK,BSO,"6,400",0,"American Bankers Association notified individuals of a data breach of their Shopping Cart affecting 6,400 records. The information compromised included Shopping Cart user names and passwords, which were posted online.  At this time the company has stated that they do not believe that any financial information was compromised.The company is requesting that individuals change their online passwords. For those with questions call 1-800-226-5377.More information:http://oag.ca.gov/ecrime/databreach/reports/sb24-58430",California Attorney General
October,2015,"Digital Theatre, LLC (ShowTix4U)",Las Vegas, Nevada,HACK,BSO,0,0,"Digital Theatre, LLC which operates ShowTix4U notified individuals of a data breach when some payment cards were affected. Investigators found between late April 2015 and late September 2015 unauthorized access was discovered on a computer server hosting ShowTix4U's website. The information compromised names, addresses, payment card account numbers, card expiration dates, and payment card security codes of customers. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58535",California Attorney General
November,2015,Comcast,Pomona, California,HACK,BSO,"200,000 active accounts, 590,000 in total ",0,"Comcast may be the latest victim of a breach when 590,000 customer email addresses and passwords were posted on the Dark Web website, an underground site selling people's information for money. The company is denying that they were a victim of a breach, and were ""certain that none of their systems or apps had been compromised.""The company took precaution and reset passwords of those affected. ""Over the weekend, a reader (@flanvel) directed Salted Hash
 to a post on a Dark Web marketplace selling a number of questionable, 
if not outright illegal goods. The post in question offered a list of 
590,000 Comcast email addresses and corresponding passwords.As
 proof, the seller offered a brief list of 112 accounts with a going 
rate of $300 USD for 100,000 accounts. However, one wished to purchase 
the entire list of 590,000 accounts, the final price was $1,000 USD.""More information: http://www.csoonline.com/article/3002604/cyber-attacks-espionage/comcast...",Media
November,2015,Accuform Signs,Brooksville, Florida,HACK,BSO,0,0,"Accuform Signs notified customers of a data breach when they noticed order information from their site and possible the site of a distributor of the company, which was hacked from an outside source. The information compromised included names, addresses, emails, phone and credit card information. For those with questions, call 1-800-233-3352 8 a.m- 7 p.m EST or go to www.safetybreach.info.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58598",California Attorney General
November,2015,Swiss Cleaners,Rockville , Connecticut,HACK,BSO,0,0,"Swiss Cleaners notified customers of a data breach to their credit card system that may have compromised customers debit/credit card information. The company investigated the incident and discovered malware on their system that handles their payment card system. The malware made copies of the payment card information as it was being routed from Swiss Cleaners system to the payment processor. The malware installed gathered cardholder names, card numbers, expiration dates and the verification code on the back of cards. The cards compromised were used at the location at 35 Windsor Avenue, PO Box 825, Vernon Connecticut from December 30, 2014 through October 26, 2015 as well as any other Swiss Cleaner stores from December 30, 2014 through October 23, 2015. The breach affected the company's drycleaning services only. For those affected with questions call 1-888-760-4869 Monday-Friday 9 am to 9 pm EST.More information: http://www.databreaches.net/ct-alerted-that-banks-had-discovered-a-probl...",Databreaches.net
November,2015,"Fashion Figure (B. Lane, Inc.)",New York, New York,HACK,BSO,0,0,"Fashion Figure is notifying customers of a data breach to their system when they discovered unauthorized access to names, customer ID's, addresses, phone numbers, email addresses, and credit card information. After investigation, the company found malware installed on their webserver. The company is providing ID Experts for free for one year for those who were affected. For those with questions call 1-877-868-0171 Monday through Friday from 8:00 am-8:00 pm CST. More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-58851",California Attorney General
October,2015,Stiletto Solutions,Inglewood, California,HACK,BSO,0,0,"Stiletto Solutions notified consumers of a data breach when they noticed suspicious activity on their e-Commerce server which may have compromised customers personal information.The information compromised included customer credit/debit card information, the CVV code on the back of the cards, names, billing and shipping addresses, e-mails, usernames and passwords. Customers affected used their cards between November 1, 2013 through September 16, 2015. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-58547",California Attorney General
November,2015,Starwood Hotels,Stamford, Connecticut,HACK,BSO,0,0,"Starwood Hotel chain is the latest to have been affected by cyber criminals. The hotel has notified customers of exposure of credit/debit card information used at retail shops, gift shops and restaurants at W Hotels, Sheraton Hotels and Westin brands. 54 locations may have been affected and included credit/debit card numbers, names and security codes on the back of the cards. ""The locations and potential dates of exposure for each affected Starwood
      property is available at www.starwoodhotels.com/paymentcardsecuritynotice.
      Customers with questions may call 1-855-270-9179 (U.S. and Canada) or
      1-512-201-2201 (International), Monday through Saturday, 8:00 am to 8:00
      pm CST or visit www.starwoodhotels.com/paymentcardsecuritynotice
      for more information.""
     More information: http://www.cbsnews.com/news/starwood-data-breach-see-which-hotels-are-af...",Media
November,2015,Private Internet Access,Los Angeles, California,HACK,BSO,0,0,"Customers of Private Internet Access were notified via email of a data breach when the company discovered a vulnerability to an IP address affecting the ""port forwarding feature"" of the service the company provided to customers. ""On November 17, we were privately notified of an IP address leak 
vulnerability affecting the port forwarding feature of our service. 
Essentially, anyone connecting to a forwarded port on any of our VPN 
gateways could have their real IP address leaked to an attacker 
specifically targeting a PIA user.
Within 12 hours of the initial report, we developed and tested what 
we thought was a complete fix, and deployed it to all of our VPN 
gateways.
On November 26, the researchers who discovered the vulnerability made
 it public and we quickly noticed that our service was still vulnerable 
to the IP address leak in certain cases, despite our initial fix. After 
further investigation, we also realized there was a separate but related
 issue on our desktop client. To fix this issue we are releasing updated
 VPN apps to prevent any leaks. We released v.52 on November 27.""The company is recommending anyone who uses their service to make sure they have the most recent release v.52 to avoid vulerability.More information: http://www.databreaches.net/private-internet-access-notifies-customers-o...",Databreaches.net
November,2015,LANDesk,South Jordan, Utah,HACK,BSO,0,0,"LANDesk, an IT automation firm has notified employees of a databreach when they discovered hackers had infiltrated their system and obtained personal information of current and former employees. According to the company ""it is possible that, 
through this compromise, hackers obtained personal information, 
including names and Social Security numbers, of some LANDESK employees 
and former Wavelink employees.”More information: http://krebsonsecurity.com/2015/11/breach-at-it-automation-firm-landesk/",Krebs On Security
September,2015,Hilton Hotels,McClean , Virginia,HACK,BSO,0,0,"""Multiple sources in the banking industry say they have traced a pattern 
of credit card fraud that suggests hackers have compromised 
point-of-sale registers in gift shops and restaurants at a large number 
of Hilton Hotel and franchise properties across the United States. Hilton says it is investigating the claims.""According to Krebs on Security, five banks have determined that a breach of credit card payment systems has a common thread in that they were all used at Hilton properties. Hilton runs Embassy Suites, Doubletree, Hampton Inn and Suites, Waldorf Astoria Hotel & Resorts and Hilton hotels. Currently it is not clear at this time how many hotels have been affected.More information: http://krebsonsecurity.com/2015/09/banks-card-breach-at-hilton-hotel-pro...Update (11/24/2015): Hilton Worldwide has sent an update to the California Attorney General's office regarding the credit card breach. The company confirms they were a victim of a malware attack that affected debit and credit card information of customers from November 18, 2014 through December 5, 2014 or April 21, 2015 through July 27,2015. More information: https://oag.ca.gov/system/files/Hilton%20Worldwide%20Inc%20%20Consumer%2...?",Krebs On Security
November,2015,Yellowfront Grocery,Damariscotta, Maine,HACK,BSR,3000,"3,000","Yellowfront Grocery has notified customers of a databreach when malware was discovered on the POS system called CSTARS of Maine, compromising customers debit and credit card statements. The grocery company is sure that the card numbers were compromised but it is still unclear whether or not additional information was stolen. CSTARS reported that card numbers and expiration dates were stolen and no other information was compromised. CSTARS is communicating that the hackers were able to gain access through ""compromised LogMeIn credentials. ""Authorities believe that cards used at the store between August 11, 2015
 to October 16, 2015 are at risk of being compromised. The local branch 
of First Bancorp and Damariscotta Bank & Trust are replacing nearly 
2,000 cards and 1,000 cards, respectively, in relation to the breach. 
Pierce said he's heard some reports of fraud.""More information: http://www.scmagazine.com/yellowfront-grocery-notified-customers-via-fac...",Media
December,2013,Target Corp.,Minneapolis, Minnesota,HACK,BSR,40 million,"40,000,000","Target discovered that hackers may have accessed customer debit and credit card information during the Thanksgiving and Christmas shopping season.  Customers who used a payment card at any of Target's stores nationwide between November 27, 2013 and December 15, 2013 may have had their payment card information copied for fraudulent purposes.  Credit card companies and banks have been notifying customers of the issue and advising them to watch for suspicious charges.  Customer names, credit or debit card numbers, card expiration dates, and card security codes were taken and have appeared on the black market.UPDATE (12/24/2013): Target now faces at least three class-action lawsuits as a result of the breach.  A wave of scam artists are attempting to profit from the breach by posing as Target or bank representatives addressing the breach.  People who shopped at Target are being warned not to give their information out over the phone.  Target is working with the U.S. Department of Justice and the Secret Service to investigate the breach.UPDATE (12/27/2013): Target customers are also being warned to be suspicious of emails claiming to be from Target or banks that request personal information.  It is estimated that the breach may cost Target up to $3.6 billion.  It appears that online customers were not affected.UPDATE (12/28/2013): Target confirmed that PINs associated with payment cards were also exposed.UPDATE (1/2/2014): East-West bank has issued a letter to their card holders warning that some of their accounts may have been compromised due to the Target data breach. East-West bank has issued new credit cards to their customers who shopped at any Target stores to reduce any potential unauthorized use of a card. (Source CA Attorney Generals' Office)UPDATE (1/10/2014): Target Corp. says that up to 70 million people were affected by the data breach, significantly more than was originally suspected. Experts predict the numbers could climb even higher than 70 million once the company completes its investigation. UPDATE (1/13/2014): Target Corp. has confirmed that malware was found on the Point of Sale devices. The malware has been removed. The number of individuals affected are now said to be 110 million individuals, 70 million more than originally thought.UPDATE (1/13/2014): Security experts are stating that Target may not be alone in the data breach. Neiman Marcus and at least 3 other unnamed retailers (these retailers are thought to be located in Eastern Europe) may also have been compromised as federal investigators track what they believe to be an international crime ring. UPDATE (1/14/2014): Companies that help Target process payments could be facing millions of dollars in fines and costs as a result of the data breach.UPDATE (1/16/2014): The malware that infected in the Target POS systems has been found and is known as the Trojan.POSRAM, according to new report by investigators. ""The malware is a memory-scraping tool that grabs card data directly from point-of-sale terminals and then stores it on the victims system for later retrieval"". The malware was originally thought to have been developed in Russia, known as BlackPOS. This new version is considered to be highly customized so that current anitvirus programs would not have detected it as reported by investigative agencies.UPDATE (1/20/2014): ""A 17 year-old Russian national from St. Petersburg is thought to be responsible for the malicious programming that allowed for data from Target and Neiman Marcus to be compromised,"" according to a California based security firm.UPDATE (1/21/2014): Two Mexican citizens were arrested at the border in South Texas for the purchase of thousands of dollars worth of merchandise with information stolen during the Target security breach, as reported by a South Texas police chief.A spokesman with the Secret Service announced that the investigation is ongoing into the possibility of a link between the Target breach and the two arrested in Texas. UPDATE (1/29/2014): The malware used in the Target attack could suggest a poorly secured feature built into a popular IT management software product that was running on the retailers internal newtork.UPDATE (1/29/2014):  A Target Corp. investor filed suit in Minnesota federal court Wednesday, against the retailers Executives holding them liable for damage caused by the holiday season data breach that saw hackers steal personal and financial information from tens of millions of customers.Shareholder Maureen Collier filed the suite with a complaint alleging that Target's board and top executives harmed the company financially by failing to take adequate steps to prevent the cyberattack then by subsequently providing customers with incomplete and misleading information about the extent of the data theft.""The suit brings claims of breach of fiduciary duty, gross mismanagement, waste of corporate assets and abuse of control, and seeks monetary damages on behalf of the company from the 14 named officers and directors"".UPDATE (2/5/2014): Hackers who broke into Target's computer network and stole customers'
 financial and personal data used credentials alledgedly  were stolen from a 
heating and air conditioning subcontractor in Pennsylvania, according to
 digital security journalist Brian Krebs.It appears as though the air conditioning company was given access to Target's 
computer network in order for the vendor to make remote changes to the system to  cut heating and cooling costs. Target has not confirmed the accuracy of this report.UPDATE (2/6/2014): Target Corporation announced they are fast tracking new credit card security technology in their stores, 6 months earlier than originally planned. Target's CFO announced it is moving up its goal to utilize chip-enabled smart cards, 
and now plans to have them in stores by early 2015. These cards encrypt point of sale data,
 rendering the credit card number less useful if stolen. Currently this technology is more prevalent outide of the US, but have resulted in 
lower card number thefts in other countries, notably Canada and the 
United Kingdom.UPDATE (2/15/2014): The breach at the Target Copr. that exposed credit card and personal data on more than 110 million consumers appears to have begun with a malware-laced email phishing attack sent to employees at the HVAC contractor Fazio Mechanical in Sharpsburg Pennsylvania. According to Krebs on Security, ""multiple sources close to the investigation now tell this reporter that those credentials were stolen in an email malware attack at Fazio that began at least two months before thieves started stealing card data from thousands of Target cash registers.""UPDATE (5/5/2014): Target's CEO has resigned in the wake of the data breach over the holiday season. He is claiming the breach was his fault. He is the second major executive to resign. Earlier in the year the company's Chief Technology Office resigned as well. The CFO of the company will take over as the interim CEO.UPDATE (8/7/2014): Target has announced that the data breach will cost it's shareholders $148 million. UPDATE (12/9/2014): A Minnesota ruled that a lawsuit put forth by several banks could proceed as the court stated that Target failed to adequately defend against the massive data breach they suffered. This is the first time a data breach case of this size has moved forward based on a companies failure to respond to warnings from security software/experts. More Information: http://www.csmonitor.com/World/Passcode/2014/1209/Target-ruling-raises-s...UPDATE (12/2/2015): Target will pay $39.4 million dollar settlement with banks and credit unions who filed a lawsuite against the retailer after the massive hacking event. More Information: http://www.reuters.com/article/us-target-breach-settlement-idUSKBN0TL20Y...",Media
November,2015,VTech,Arlington Heights, Illinois,HACK,BSO,Profiles of 2.2 million parents and 2.9 million kids in the US. 4.8 million parents and 6.4 million kids world wide. ,0,"VTech, a Hong Kong based company notified customers of a data breach when hackers were able to gain access to childrens' photos, chat logs, children's names, genders and birthdates, account email addresses, passwords, secret questions and answers for password retrieval, IP addresses, mailing addresses and download history.  ""The majority of the people 
hacked - more than 2.2 million parents and nearly 2.9 million kids - are
 in the U.S. The hacks were spread across more than a dozen countries, 
including France, the U.K. and Germany.""More information: http://money.cnn.com/2015/11/30/technology/vtech-hack-kids/",Media
December,2015,Muji USA,Bayonne, New Jersey,HACK,BSO,0,0,"Muji USA notified customers of a data breach when they discovered malware on their online shopping portal which may have compromised their customers personal information.The information compromised included names, addresses, payment card numbers, the expiration dates of cards, the CVV code on the back of cards.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59200",California Attorney General
February,2010,Wyndham Hotels & Resorts,Dallas, Texas,HACK,BSO,"500,000","500,000","International hotel group Wyndham Hotels and Resorts (WHR) has suffered yet another serious data breach after hackers broke into its computer systems, stealing customer names and payment card information.UPDATE (05/18/2010): An open letter from Wyndham to its customers: www.wyndhamworldwide.com/customer_care/data-claim.cfmUPDATE (05/12/2011): Wyndham identified 42 additional New Hampshire residents who were affected by the 2010 breach.  The total number of people affected by hacking incidents at Wyndham in 2009 and 2010 is likely to be large since 37 hotels under Wyndham's hotel group were affected.UPDATE (06/26/2012): The FTC has filed a complaint against Wyndham hotels for failure to protect the personal information of consumers.  Wyndham hotels and three of its subsidiaries are accused of data security failures that led to three data breaches at Wyndham hotels between 2009 and 2011.  The FTC accused them of allowing failures that led to fraudulent charges on consumers' accounts, millions of dollars in fraud loss, and the export of hundreds of thousands of consumers' payment card account information to an internet domain address registered in Russia.  The FTC statement can be read here: http://www.ftc.gov/opa/2012/06/wyndham.shtm.UPDATE (08/30/2012): Wyndham Hotel & Resorts LLC is contending that the FTC lacks the authority to regulate private companies' data security practices. Wyndham motioned to dismiss the FTC's Arizona federal court case with this assertion.UPDATE (06/25/2014): On June 25th, The Federal Trade Commission ""sufficiently alleged that several Wyndham Hotels entities operated as a common enterprise in the commission's data security enforcement action against them, the U.S. District Court for the District of New Jersey held June 23, in an unpublished opinion. The court is allowing Wyndham Hotels and Resorts LLC a interlocutory review of portions an an earlier April 7th opinion denying the company's separate motion to dismiss, Judge Esther Salas wrote in a second unpublished opion (FTC v. Wyndham Worldwide Corp., 2014 BL 174519, D.N.J., No. 2:13-cv-01887, unpublished opinion 6/23/14)"".UPDATE (12/09/2015): Wyndham Hotels has settled with the FTC that it failed to properly secure customer credit card information. ""A consent order outlining the 
settlement was filed with the federal court in Newark, New Jersey, 3-1/2
 months after the 3rd U.S. Circuit Court of Appeals in Philadelphia said
 the FTC had authority to regulate corporate cyber security.Under
 the order, Wyndham must establish a comprehensive information security 
program designed to protect cardholder data including payment card 
numbers, names and expiration dates, the FTC said.""More information: http://www.reuters.com/article/us-wyndham-ftc-cybersecurity-idUSKBN0TS24...",Media
December,2015,Middlesex Hospital,Middletown , Connecticut,HACK,MED,946,0,"Middlesex Hospital has notified patients of a data breach when four of its employees were victims of a phishing scam that enabled hackers to get into hospital records compromising patient information.The information compromised included names, addresses, dates of birth, medical record numbers, medications they took, dates of service and diagnosis. More information: http://fox61.com/2015/12/08/middlesex-hospital-suffers-patient-data-secu...",Media
December,2015,CM Ebar LLC (Elephant Bar restaurants),Dallas, Texas,HACK,BSO,0,0,"CM Ebar LLC (Elephant Bar restaurants) notified customers of a data breach when malware was discovered on their payment systems, potentially compromising customer debit and credit card information. The breach affected restaurants in California, Colorado, Arizona, Missouri, Nevada, New Mexico, and Florida. The incident was discovered on November 3, 2015 and affective dates are anywhere from August 12, 2015 through December 4, 2015. Information on specific restaurant locations and dates can be found in the link below.http://www.elephantbar.com/incident/(Any questions regarding the incident, individuals can call 1-888-578-5412)More information: http://sacramento.cbslocal.com/2015/12/08/elephant-bar-restaurant-warns-...",Media
December,2015,TuneCore,Brooklyn, New York,HACK,BSO,0,0,"TuneCore, a music distribution site, notified customers of a data breach, when unauthorized access was discovered affecting potentially compromising customer information.The information included Social Security numbers or taxpayer ID number, dates of birth, royalty statements for third quarter of 2015, names, addresses, email addresses, TuneCore account numbers, and passwords, billing addreses, last 4 digits of debit or credit card information, expiration dates of cards, last 4 digits of bank account numbers, and last four digits of banking account numbers.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59260",California Attorney General
December,2015,Rivers Casino,Pittsburgh, Pennsylvania,HACK,BSO,0,0,"The Rivers Casino released a statement stating that their system had been infected with malware, but they are claiming that no customer information was compromised. More information: http://pittsburgh.cbslocal.com/2015/12/15/rivers-casino-hit-with-compute...",Media
December,2015,Holly A. Nordhues,Vacaville, California,HACK,BSF,0,0,"Holly A. Nordhues CPA notified customers of a data breach when the she discovered a cyberhack to a computer that housed customer information.The information compromised included names, addresses, Social Security number, birthdates, sources of income and tax deductions.She is offering AllClearID for 12 months at no cost. For those affected or questions call 1-877-676-0379.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59137  ",California Attorney General
December,2015,Dungarees,Columbia, Missouri,HACK,BSR,0,0,"Dungarees has notified individuals of a data breach when they discovered their online store was hacked. The
 hacking may have been compromised both debit and credit card numbers. 
The hacking may have compromised customer names, billing information, 
mailing information email addresses, credit and debit card information, 
the expiration dated, the CVV on the back of the card. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59371",California Attorney General
December,2015,Acclaim Technical Services,Huntington Beach, California,HACK,BSO,0,0,"Acclaimed Technical Services has notified individuals of a data breach when their system was hacked compromising personal information of individuals who had a background check done with the company.The information compromised included names, Social Security numbers, addresses, dates and places of birth, residency, educational and employment history, personal foreign travel history, information about immediate family, as well as business and other personal information contained in a background check.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59396",California Attorney General
January,2016,Washington Hospital Healthcare System,Fremont, California,HACK,MED,0,0,"Washington Township Health Care District has notified individuals of a data breach to their system located in the Washington Community Health Resource Library. This system is used to maintain library identification cards. The information compromised included names, addresses, and driver's license numbers.For questions call 1-888-668-9189 Monday through Friday 6:00 am to 6:00 pm PST.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59419",California Attorney General
December,2015,University of Connecticut,Storrs, Connecticut,HACK,EDU,0,0,"The University of Connecticut has notified individuals of a breach 
when malware was found on their website ""prompting visitors to download a
 malicious program posing as Adobe Flash Player, according to a 
university spokesman.""More information: http://dailycampus.com/stories/uconn-website-compromised-malicious-program",Media
December,2015,Quincy Credit Union,Boston, Massachusetts,HACK,BSF,670,670,"Quincy Credit Union was a target of malware that allowed hackers to gain access to customers bank accounts when skimmers were found on ATM machines. ""Quincy Credit Union president Stewart Steele told WBZ-TV an estimated 
670 accounts were impacted. Steele said he believes skimmers may have 
been placed on the ATM machines. It’s unclear how much money was taken.""More information: http://boston.cbslocal.com/2015/12/27/quincy-credit-union-restricts-atm-... ",Media
January,2015,mdlNR LLC,Jacksonville, Florida,HACK,MED,"1,859",0,"As reported through Health and Human Services, mdlNR LLC a healthcare provider in Jacksonville Florida had unauthorized access in emails.Additional specific information as to what personal information was compromised was not available. More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency
January,2016,Time Warner Cable,San Diego, California,HACK,BSO,"320,000",0,"Time Warner Cable discovered that their online systems were hacked compromising the username and passwords of approximately 320,000 of its customers. ""The telecommunications giant says the FBI informed it of the apparent breach. As a precaution, the company is now contacting affected customers to advise them to change their account passwords.""More information: http://www.foxnews.com/tech/2016/01/08/time-warner-cable-says-320000-cus...",Media
January,2015,Saint Louis County Department of Health,St. Louis, Missouri,HACK,MED,4000,"4,000","""On November 18, 2014, an employee of the covered entity (CE), Saint Louis County Department of Health, resigned her position and then impermissibly emailed her personal email account a spreadsheet that was used to reconcile bills for medical services provided to the CE's patients.  The types of protected health information (PHI) contained in the spreadsheet included the names, social security numbers, and dates of service of approximately 4,000 patients, along with the names of the medical providers.  The CE provided breach notification to HHS, affected individuals, and the media, and also filed a police report.  The CE terminated the former employeeâ€™s access to its patient database and retrained employees on its HIPAA policies and procedures regarding HIPAA.  OCR obtained assurances that the CE implemented the corrective actions listed.""More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency
January,2015,VA Corporate Data Center Operations/Austin Information Technology Center,Austin, Texas,HACK,MED,7029,0,According to the Health and Human services website the VA Corporate Data Center suffered a data breach when they discovered their network server was hacked compromising personal information. The types of information compromised was not communicated.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...,Government Agency
January,2015,Ronald D. Garrett-Roe MD,Corpus Christi, Texas,HACK,MED,1600,0,Dr. Ronald D. Garrett-Roe notified patients of a data breach when hackers gained unauthorized access to two hard drives located on the desktop computers of the physicians office. The hard drive had been removed and all the files contained on the hard drive were copied. The hard drive was then formatted to erase all of the information on the computer system. No specific information was provided as to what patient information was compromised.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...,Government Agency
